Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Product_Add_Suite,Firefox 66.0,,,2019-05-10 16:06:36,2019-05-10 16:08:20,1m - 43.920s,FAILED
,,,,,,,
Test Cases/Add_Product/AddProductFields_verification,Firefox 66.0,,,2019-05-10 16:06:37,2019-05-10 16:07:38,1m - 1.817s,PASSED
"openBrowser("""")",Firefox 66.0,,,2019-05-10 16:06:37,2019-05-10 16:06:43,5.523s,PASSED
navigateToUrl(applicationUrl),Firefox 66.0,,,2019-05-10 16:06:43,2019-05-10 16:07:02,18.882s,PASSED
delay(3),Firefox 66.0,,,2019-05-10 16:07:02,2019-05-10 16:07:05,3.047s,PASSED
maximizeWindow(),Firefox 66.0,,,2019-05-10 16:07:05,2019-05-10 16:07:05,0.307s,PASSED
delay(2),Firefox 66.0,,,2019-05-10 16:07:05,2019-05-10 16:07:07,2.017s,PASSED
"setText(findTestObject(""Page_BugsUI/input_username""), ""knagendra-ext"")",Firefox 66.0,,,2019-05-10 16:07:07,2019-05-10 16:07:07,0.180s,PASSED
"setText(findTestObject(""Page_BugsUI/input_password""), ""Kum1!@#$%^&*()ar"")",Firefox 66.0,,,2019-05-10 16:07:07,2019-05-10 16:07:07,0.104s,PASSED
"if (verifyElementClickable(findTestObject(""Page_BugsUI/button_Login"")))",Firefox 66.0,,,2019-05-10 16:07:07,2019-05-10 16:07:08,0.382s,PASSED
delay(6),Firefox 66.0,,,2019-05-10 16:07:08,2019-05-10 16:07:14,6.004s,PASSED
"if (verifyElementPresent(findTestObject(""Page_BugsUI Dashboard/span_Dashboard""), 0))",Firefox 66.0,,,2019-05-10 16:07:14,2019-05-10 16:07:16,2.672s,PASSED
delay(3),Firefox 66.0,,,2019-05-10 16:07:16,2019-05-10 16:07:19,3.003s,PASSED
"if (verifyElementPresent(findTestObject(""Page_BugsUI Add Product/span_Add Product""), 0))",Firefox 66.0,,,2019-05-10 16:07:19,2019-05-10 16:07:20,0.061s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Add Product/div_Choose Classification""), 1)",Firefox 66.0,,,2019-05-10 16:07:20,2019-05-10 16:07:20,0.020s,PASSED
